ADUA,PAIS,COD_PAI4,COD_SAL,VIA,BANDERA,MODAD,DPTO2,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
48,105,BRA,CTG,1,431,199,5,33,KG,16798.0,32.0,18195.0,6.0,16798.0,32.0,77104.0,29.0,241836834.0
90,149,CAN,MDE,4,169,198,5,11,U,6560.0,1551.0,97.0,1396.0,2318.0,1.0,7233770.0,13.0,0.0
35,647,DOM,BUN,1,741,198,76,33,KG,8200.0,9239.0,8200.0,28402.0,39.0,88631362.0,13.0,26618.0,63.0
3,249,USA,BOG,4,253,199,11,33,KG,785.0,936.0,4.0,785.0,5102.0,5.0,16022819.0,47.0,0.0
35,245,ESP,BUN,1,434,198,25,33,KG,20.0,58.0,23.0,7.0,20.0,58.0,995.0,38.0,3131604.0
48,249,USA,CTG,1,43,198,50,11,U,23.0,9500.0,1.0,9030.0,77100.0,242342261.0,0.0,7538.0,49.0
3,239,ECU,BOG,7,239,198,68,67,M3,1181.0,63.0,1100518.0,99.0,1100518.0,99.0,777325.0,83.0,2456228160.0
48,317,GTM,CTG,1,434,198,68,67,M3,24.0,9.0,16000.0,14400.0,18400.0,57418304.0,0.0,0.0,0.0
3,97,BOL,BOG,4,249,198,25,33,KG,205.0,91.0,236.0,83.0,205.0,91.0,4750.0,69.0,14900966.0
35,580,PAN,BUN,1,467,2,11,11,U,84.0,6.0,55.0,6.0,36.0,25.0,2.0,79751.0,7.0
3,830,UKR,BOG,4,445,198,25,11,U,300.0,5.0,5.0,5.0,90.0,282293.0,1.0,0.0,0.0
90,580,PAN,MDE,4,169,198,5,33,KG,94.0,5.0,105.0,94.0,5.0,375.0,23.0,1172578.0,74.0
48,493,MEX,CTG,1,434,198,11,11,U,3.0,9.0,4.0,7.0,8.0,6.0,53.0,20638.0,19.0
35,845,URY,CTG,1,741,198,76,33,KG,5100.0,5.0,5700.0,5.0,5100.0,5.0,49899.0,38.0,156990435.0
3,211,CHL,BOG,4,211,199,11,33,KG,4.0,36.0,4.0,72.0,4.0,36.0,34.0,110500.0,34.0
90,239,ECU,BOG,4,169,198,5,33,KG,223.0,11.0,223.0,98.0,223.0,11.0,2662.0,88.0,8544010.0
35,589,PER,BUN,1,23,198,5,11,U,1135.0,719.0,68.0,595.0,88.0,10998.0,15.0,34840599.0,45.0
90,493,MEX,BOG,4,493,198,5,11,U,3851.0,577.0,62.0,474.0,55.0,31898.0,14.0,100063238.0,8.0
35,249,USA,BUN,1,741,198,52,33,KG,19222.0,19387.0,19222.0,55513.0,13.0,174181327.0,5.0,0.0,0.0
3,249,USA,BOG,4,249,198,25,11,U,407.0,181.0,161.0,1261.0,41.0,4034228.0,61.0,0.0,0.0
3,249,USA,BOG,4,249,198,5,11,U,324.0,43.0,63.0,35.0,158.0,84.0,495669.0,75.0,0.0
3,242,SLV,BOG,4,249,198,25,33,KG,302.0,47.0,320.0,55.0,302.0,47.0,3259.0,53.0,10259077.0
3,249,USA,BOG,4,249,198,11,11,U,725170.0,20153.0,95.0,18272.0,66669.0,5.0,210670624.0,2.0,0.0
3,218,TWN,BOG,4,249,198,11,11,U,45284.0,4062.0,3249.0,6.0,32200.0,100482032.0,0.0,0.0,0.0
3,149,CAN,BOG,4,249,198,11,11,U,250.0,11.0,9.0,30.0,94097.0,7.0,30.0,0.0,0.0
48,211,CHL,CTG,1,467,4,11,11,U,268.0,5489.0,4830.0,10000.0,31365900.0,0.0,0.0,0.0,0.0
3,386,ITA,BOG,4,445,198,25,11,U,550.0,31.0,29.0,181.0,5.0,569485.0,29.0,0.0,0.0
48,493,MEX,CTG,1,23,198,5,11,U,54620000.0,14613.0,96.0,13930.0,43.0,21934.0,69021316.0,6.0,3985.0
90,317,GTM,BOG,4,580,198,5,11,U,554.0,112.0,93.0,105.0,33.0,4594.0,96.0,14480970.0,49.0
90,589,PER,MDE,4,169,198,5,33,KG,292.0,32.0,292.0,32.0,292.0,32.0,682.0,21.0,2128877.0
3,239,ECU,BOG,4,239,198,25,11,U,7000.0,195.0,8.0,175.0,74.0,2151.0,41.0,6778189.0,31.0
35,211,CHL,BUN,1,434,198,76,11,U,2040.0,1141.0,97.0,994.0,65.0,34504.0,109303841.0,4.0,27554.0
48,249,USA,CTG,1,43,198,25,11,U,1425.0,1539.0,1458.0,11346.0,64.0,36040030.0,92.0,0.0,0.0
3,244,ARE,BOG,4,149,198,11,33,KG,30.0,40.0,30.0,1950.0,6337519.0,5.0,0.0,0.0,0.0
3,239,ECU,BOG,4,850,104,11,11,U,40.0,,88.0,,3.0,100.0,8.0,317670.0,18.0
37,239,ECU,IPI,3,169,198,5,11,U,1221.0,2322.0,1.0,2162.0,28.0,28413.0,56.0,89716383.0,93.0
88,239,ECU,BOG,4,169,198,76,11,U,253490.0,410.0,99.0,386.0,35.0,9196.0,35.0,28973836.0,37.0
87,249,USA,BAQ,1,434,199,8,11,U,12993000.0,62465.0,49.0,58939.0,18.0,65106.0,43.0,205406554.0,1.0
35,676,RUS,BUN,1,741,198,66,33,KG,53388.0,53901.0,53388.0,141478.0,2.0,447144680.0,7.0,0.0,0.0
3,580,PAN,BOG,4,580,198,11,11,U,1.0,5.0,2.0,18.0,54.0,60255.0,18.0,0.0,0.0
3,493,MEX,BOG,4,249,104,11,11,U,10.0,4.0,22.0,3.0,8.0,2788.0,8811529.0,76.0,0.0
48,245,ESP,CTG,1,351,198,11,11,U,17.0,1367.0,56.0,1367.0,56.0,6434.0,43.0,20107336.0,37.0
48,580,PAN,CTG,1,580,198,13,33,KG,28070.0,92.0,28580.0,92.0,28070.0,92.0,9287.0,34.0,28981701.0
37,239,ECU,IPI,3,169,198,5,13,MIL,3064.0,88.0,98.0,84.0,86.0,2051.0,39.0,6453960.0,13.0
35,589,PER,BUN,1,580,199,76,33,KG,553500.0,555049.0,553500.0,191831.0,8.0,602577657.0,8.0,182508.0,78.0
90,239,ECU,BOG,4,169,199,5,33,KG,64.0,2.0,64.0,2.0,64.0,2.0,402.0,3.0,1272659.0
90,249,USA,MDE,4,169,198,5,11,U,12259.0,1668.0,17.0,1492.0,2674.0,54.0,8433117.0,45.0,0.0
90,211,CHL,BOG,4,211,198,5,11,U,6.0,2.0,2.0,2.0,15.0,35.0,99.0,113639.0,14.0
37,239,ECU,IPI,3,239,198,17,33,KG,16029.0,82.0,16649.0,14.0,16029.0,82.0,44122.0,25.0,141568886.0
35,211,CHL,BUN,1,431,104,11,11,U,30.0,3.0,12.0,3.0,4.0,,3.0,949.0,42.0
35,249,USA,CTG,1,580,198,66,33,KG,10573.0,5.0,10996.0,83.0,10573.0,5.0,29356.0,3.0,95400635.0
3,589,PER,BOG,4,169,198,11,33,KG,6.0,2.0,6.0,65.0,6.0,2.0,68.0,66.0,214257.0
3,239,ECU,IPI,3,239,198,11,11,U,130.0,218.0,85.0,146.0,51.0,3145.0,95.0,9965929.0,16.0
90,239,ECU,BOG,4,169,198,5,11,U,1929.0,125.0,110.0,7.0,36142.0,7.0,115307758.0,9.0,21586.0
48,63,ARG,CTG,1,607,198,11,11,U,670.0,6839.0,81.0,5873.0,1.0,36414.0,6.0,118338346.0,4.0
48,199,CUB,CTG,1,741,2,5,11,U,1.0,46.0,45.0,,1.0,325.0,0.0,0.0,0.0
90,249,USA,MDE,4,249,198,5,11,U,4800.0,700.0,12.0,630.0,552.0,1731988.0,32.0,0.0,0.0
90,317,GTM,MDE,4,580,198,5,11,U,96.0,16.0,5.0,15.0,23.0,286.0,72.0,931768.0,32.0
48,345,HND,CTG,1,741,198,17,11,U,1.0,17.0,17.0,17.0,26.0,95.0,84908.0,13.0,16.0
48,611,PRI,CTG,1,434,198,13,33,KG,25303.0,28537.0,25303.0,28037.0,91113240.0,75.0,0.0,0.0,0.0
87,249,USA,BAQ,1,43,198,8,82,M2,75.0,6.0,3787.0,66.0,3475.0,82.0,11619.0,92.0,36609487.0
37,239,ECU,IPI,3,169,198,5,33,KG,341.0,61.0,418.0,27.0,341.0,61.0,2886.0,4.0,9234666.0
3,249,USA,BOG,4,249,198,25,11,U,3056744.0,1307520.0,1.0,1118754.0,10728735.0,63.0,33479663258.0,8007220.0,6.0
3,493,MEX,BOG,4,249,198,25,11,U,38000.0,511.0,58.0,483.0,31.0,2530.0,74.0,7990862.0,16.0
48,242,SLV,CTG,1,741,198,5,33,KG,3878.0,4.0,4613.0,63.0,3878.0,4.0,31859.0,99957422.0,46.0
3,580,PAN,BOG,4,169,198,5,33,KG,409.0,454.0,37.0,409.0,2932.0,5.0,9241744.0,42.0,0.0
90,493,MEX,BOG,4,249,2,5,11,U,1.0,1.0,,4.0,4.0,12653.0,84.0,0.0,0.0
35,399,JPN,BUN,1,434,198,19,33,KG,4217.0,4274.0,4217.0,19802.0,18.0,61793890.0,82.0,0.0,0.0
48,317,GTM,CTG,1,434,198,13,11,U,2607200.0,15704.0,59.0,14020.0,33.0,57024.0,62.0,181864959.0,4.0
37,239,ECU,IPI,3,239,198,25,11,U,60.0,388.0,62.0,349.0,99.0,15835.0,8.0,49416564.0,4.0
48,317,GTM,CTG,1,607,199,13,11,U,1.0,7000.0,7000.0,37440.0,117473990.0,4.0,0.0,6002.0,7.0
35,127,CPV,BUN,1,741,198,76,33,KG,1382.0,48.0,1555.0,37.0,1382.0,48.0,5925.0,19254768.0,75.0
35,242,SLV,BUN,1,434,198,76,33,KG,37968.0,39606.0,37968.0,38042.0,6.0,123637075.0,4.0,0.0,1750.0
87,27,ABW,BAQ,1,741,198,11,33,KG,60.0,53.0,69.0,83.0,60.0,53.0,198.0,4.0,626451.0
3,628,GBR,BOG,4,249,198,5,11,U,13474.0,2331.0,1922.0,10229.0,84.0,32504133.0,37.0,0.0,0.0
37,239,ECU,IPI,3,169,198,66,82,M2,32064.0,5439.0,99.0,5239.0,5.0,22050.0,4.0,68809596.0,22.0
37,239,ECU,IPI,3,169,104,11,11,U,33.0,263.0,255.0,11.0,231.0,727783.0,98.0,0.0,0.0
48,249,USA,CTG,1,434,198,11,11,U,2000.0,138.0,19.0,134.0,94.0,860.0,2690140.0,2.0,0.0
48,105,BRA,CTG,1,23,198,5,33,KG,60.0,62.0,61.0,60.0,270.0,854134.0,2.0,189.0,94.0
48,345,HND,CTG,1,607,198,25,11,U,34.0,15.0,72.0,14.0,62.0,385.0,46.0,1252648.0,63.0
35,399,JPN,BUN,1,580,198,76,33,KG,2999.0,3048.0,99.0,2999.0,26686.0,47.0,83733069.0,45.0,0.0
3,580,PAN,BOG,4,169,104,11,33,KG,24.0,26.0,66.0,24.0,283.0,2.0,888020.0,53.0,0.0
3,580,PAN,BOG,4,169,198,11,11,U,17.0,11.0,3.0,9.0,35.0,335.0,49.0,1059316.0,38.0
35,603,POL,BUN,1,741,198,76,33,KG,38180.0,44481.0,36.0,38180.0,3320.0,10502687.0,2.0,0.0,0.0
48,850,VEN,MAI,3,850,198,13,33,KG,144.0,144.0,144.0,12131.0,7.0,38095843.0,2.0,0.0,733.0
90,249,USA,BOG,4,211,199,5,11,U,616.0,167.0,2.0,112.0,2.0,2515.0,98.0,7908278.0,65.0
3,493,MEX,BOG,4,580,198,11,11,U,21.0,105.0,97.0,97.0,7.0,520.0,46.0,1648744.0,39.0
35,97,BOL,BUN,1,741,2,17,11,U,2.0,1.0,5.0,1.0,2.0,6500.0,2.0,0.0,0.0
35,589,PER,BUN,1,232,198,76,33,KG,24.0,7.0,27.0,17.0,24.0,7.0,39626.0,8.0,127142655.0
90,249,USA,MDE,4,249,198,5,11,U,80.0,25.0,17.0,96.0,301458.0,24.0,0.0,0.0,0.0
3,764,SWE,BOG,4,23,199,11,11,U,20080.0,504.0,499.0,7111.0,4.0,22527919.0,6.0,0.0,0.0
37,239,ECU,IPI,3,239,198,25,33,KG,3771.0,5.0,4168.0,5.0,3771.0,5.0,14325.0,78.0,44704456.0
35,239,ECU,BUN,1,741,198,5,33,KG,80030.0,80550.0,19.0,80030.0,105094.0,9.0,331839248.0,6.0,0.0
35,589,PER,BUN,1,741,198,17,11,U,1080.0,3286.0,89.0,3221.0,5338.0,8.0,16660045.0,72.0,4163.0
3,647,DOM,BOG,4,580,198,11,33,KG,79.0,7.0,81.0,33.0,79.0,7.0,8602.0,3.0,27161934.0
90,149,CAN,MDE,4,249,198,5,11,U,103614.0,4984.0,64.0,4437.0,25.0,15969.0,49.0,50136114.0,72.0
3,493,MEX,CTG,1,434,198,25,33,KG,10945.0,46.0,11996.0,29.0,10945.0,46.0,90639.0,41.0,283970815.0
3,249,USA,BOG,4,249,198,25,11,U,6200.0,197.0,33.0,108.0,5.0,1054.0,3338924.0,44.0,972.0
48,647,DOM,CTG,1,741,198,5,33,KG,1970.0,2112.0,1970.0,36403.0,76.0,118312584.0,0.0,1050.0,209.0
3,249,USA,BOG,4,105,198,11,11,U,42197.0,2981.0,35.0,2892.0,5437.0,17.0,17007848.0,36.0,5437.0
48,391,JAM,CTG,1,472,198,76,33,KG,8039.0,32.0,8801.0,44.0,8039.0,32.0,14470.0,24.0,47028424.0
3,573,NLD,BOG,4,169,198,25,11,U,74560.0,2331.0,21.0,2317.0,12265.0,38699763.0,1.0,12265.0,0.0
48,361,IND,CTG,1,351,199,13,33,KG,1638000.0,1673872.0,1638000.0,1353858.0,55.0,4375661997.0,1353858.0,55.0,41805.0
3,239,ECU,BOG,4,249,198,25,11,U,291.0,52.0,6.0,47.0,56.0,806.0,7.0,2515389.0,79.0
3,399,JPN,BOG,4,211,198,11,11,U,2100.0,477.0,84.0,463.0,34.0,304.0,5.0,955091.0,65.0
3,676,RUS,BOG,4,445,198,25,11,U,1200.0,138.0,44.0,131.0,168.0,544521.0,6.0,0.0,0.0
90,589,PER,MDE,4,169,198,5,11,U,458.0,87.0,62.0,78.0,99.0,2349.0,1.0,7522757.0,7.0
90,759,SDN,BOG,4,827,198,5,33,KG,180.0,205.0,180.0,19500.0,61161554.0,0.0,0.0,0.0,60.0
3,218,TWN,BOG,4,827,198,25,11,U,57300.0,1974.0,98.0,1778.0,9363.0,29619475.0,98.0,9363.0,0.0
3,589,PER,BOG,4,169,198,25,11,U,230.0,108.0,33.0,97.0,26.0,2095.0,3.0,6538509.0,36.0
87,249,USA,BAQ,1,43,199,8,33,KG,2610.0,2687.0,2610.0,6996.0,59.0,22087496.0,69.0,0.0,0.0
4,493,MEX,BOG,4,249,199,68,11,U,1996.0,1178.0,32.0,1126.0,10186.0,31985637.0,86.0,0.0,0.0
48,580,PAN,CTG,1,580,198,54,19,2U,2592.0,4820.0,49.0,4380.0,15474.0,24.0,48684125.0,43.0,0.0
48,149,CAN,CTG,1,43,198,5,11,U,1870.0,1284.0,98.0,1182.0,19.0,25078.0,43.0,80465647.0,36.0
35,589,PER,BUN,1,628,198,11,33,KG,252.0,6.0,278.0,7.0,252.0,6.0,3822.0,33.0,11944628.0
3,589,PER,BOG,4,589,198,11,33,KG,56.0,56.0,56.0,2765.0,8985558.0,75.0,0.0,0.0,0.0
90,53,SAU,MDE,4,169,198,5,11,U,10300.0,1780.0,86.0,1602.0,7328.0,23033516.0,16.0,0.0,0.0
37,239,ECU,IPI,3,169,198,25,33,KG,672.0,69.0,778.0,45.0,672.0,69.0,16961.0,77.0,53202118.0
48,493,MEX,CTG,1,23,198,11,11,U,1.0,31.0,69.0,30.0,218.0,81.0,702065.0,1.0,0.0
89,850,VEN,CUC,3,850,198,25,11,U,180.0,44.0,39.0,43.0,2472.0,7714024.0,32.0,0.0,79.0
90,249,USA,MDE,4,169,198,5,33,KG,55.0,64.0,73.0,55.0,540.0,1710261.0,9.0,0.0,0.0
3,149,CAN,BOG,4,249,198,11,11,U,10300.0,740.0,677.0,2942.0,5.0,9229416.0,7.0,2810.0,79.0
