ADUA,PAIS,COD_PAI4,COD_SAL,VIA,BANDERA,MODAD,DPTO2,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
3,493,MEX,BOG,4,493,198,25,33,KG,152.0,47.0,162.0,74.0,152.0,47.0,5257.0,69.0,16558258.0
48,239,ECU,CTG,1,434,198,13,33,KG,1504.0,8.0,1743.0,3.0,1504.0,8.0,64768.0,19.0,203151257.0
37,239,ECU,IPI,3,169,198,76,33,KG,22097.0,55.0,24249.0,45.0,22097.0,55.0,107453.0,4.0,338775700.0
48,105,BRA,CTG,1,467,198,5,33,KG,22590.0,25599.0,98.0,22590.0,73521.0,9.0,229429500.0,3.0,26946.0
90,105,BRA,BOG,4,105,198,5,33,KG,10.0,10.0,10.0,243.0,17.0,758826.0,57.0,0.0,0.0
3,239,ECU,BOG,4,239,198,25,11,U,153.0,24.0,73.0,22.0,32.0,637.0,96.0,2007111.0,47.0
48,249,USA,CTG,1,741,198,5,11,U,3871.0,2115.0,3.0,1164.0,42.0,3483.0,9.0,10897883.0,7.0
48,249,USA,CTG,1,434,198,11,33,KG,96.0,104.0,34.0,96.0,159.0,15.0,500243.0,46.0,0.0
3,244,ARE,BOG,4,573,198,25,11,U,31832.0,1932.0,1739.0,23872.0,4.0,75211905.0,99.0,21464.0,4.0
48,275,FRA,CTG,1,434,198,5,11,U,2043.0,1142.0,98.0,966.0,86.0,7150.0,5.0,22313564.0,28.0
35,149,CAN,BUN,1,580,198,76,33,KG,19195.0,19388.0,19195.0,62205.0,51.0,199590111.0,2.0,0.0,0.0
3,249,USA,BOG,4,249,198,11,11,U,1137973.0,44707.0,92.0,43403.0,260450.0,57.0,816900608.0,3.0,256753.0
35,239,ECU,BUN,1,741,198,76,11,U,1830.0,1424.0,62.0,1249.0,9.0,6341.0,94.0,20611368.0,41.0
3,573,NLD,BOG,4,445,198,5,11,U,540.0,32.0,96.0,28.0,54.0,170668.0,8.0,51.0,24.0
3,647,DOM,BOG,4,169,198,11,33,KG,270.0,299.0,5.0,270.0,9108.0,29223564.0,48.0,0.0,0.0
88,242,SLV,CLO,4,169,198,76,11,U,91.0,183.0,99.0,164.0,3378.0,6.0,10979605.0,35.0,0.0
35,589,PER,BUN,1,628,198,11,11,U,1800.0,264.0,25.0,236.0,1800.0,5775408.0,0.0,21.0,3.0
35,589,PER,BUN,1,628,198,11,11,U,11412.0,2576.0,9.0,2300.0,67.0,17547.0,6.0,56302527.0,45.0
48,249,USA,CTG,1,628,198,5,11,U,3.0,682.0,93.0,662.0,38.0,1722.0,75.0,5457430.0,81.0
35,455,MYS,BUN,1,607,198,17,33,KG,57787.0,58338.0,57787.0,182815.0,1.0,578327971.0,5.0,0.0,0.0
48,196,CRI,CTG,1,741,198,13,33,KG,19600.0,19703.0,19600.0,38112.0,122284638.0,7.0,19822.0,5.0,500.0
35,589,PER,BUN,1,215,198,5,11,U,5004.0,22531.0,95.0,21682.0,33.0,76561.0,2.0,248804759.0,7.0
35,97,BOL,BUN,1,472,2,17,11,U,960.0,230.0,4.0,211.0,2.0,9.0,6.0,31197.0,6.0
48,764,SWE,CTG,1,434,198,11,11,U,1.0,,69.0,,68.0,47.0,43.0,148008.0,16.0
90,580,PAN,MDE,4,580,198,5,11,U,65.0,18.0,31.0,13.0,94.0,1555.0,6.0,4889593.0,3.0
90,239,ECU,MDE,4,580,198,5,11,U,35.0,9.0,72.0,8.0,4.0,593.0,16.0,1850991.0,36.0
48,493,MEX,CTG,1,741,198,5,33,KG,43.0,2.0,45.0,3.0,43.0,2.0,230.0,4.0,748802.0
3,87,BEL,BOG,4,850,198,5,11,U,5.0,2.0,11.0,2.0,1.0,150.0,12.0,474457.0,26.0
3,249,USA,BOG,4,249,199,11,33,KG,13.0,13.0,8.0,13.0,1268.0,4016846.0,48.0,0.0,0.0
90,239,ECU,BOG,4,169,199,5,33,KG,319.0,4.0,417.0,6.0,319.0,4.0,7467.0,71.0,23623801.0
3,239,ECU,IPI,3,169,198,25,33,KG,2364.0,2534.0,31.0,2364.0,4037.0,19.0,12704461.0,55.0,0.0
48,493,MEX,CTG,1,434,104,13,33,KG,495.0,495.0,495.0,4986.0,92.0,15746299.0,63.0,0.0,135.0
3,603,POL,BOG,4,573,198,25,11,U,1700.0,101.0,55.0,389.0,2.0,1232931.0,11.0,0.0,0.0
35,580,PAN,BUN,1,607,198,76,33,KG,476.0,16.0,513.0,13.0,476.0,16.0,1639.0,84.0,5261525.0
48,242,SLV,CTG,1,434,198,13,33,KG,65000.0,66475.0,36.0,65000.0,87801.0,42.0,277014681.0,9.0,23387.0
3,23,DEU,BOG,4,573,198,11,33,KG,2.0,54.0,9.0,45.0,2.0,54.0,2.0,6326.0,92.0
3,249,USA,BOG,4,850,198,68,11,U,7.0,,71.0,,7.0,109.0,62.0,346919.0,89.0
3,196,CRI,BOG,4,249,198,25,33,KG,3.0,47.0,3.0,68.0,3.0,47.0,150.0,35.0,475184.0
48,580,PAN,CTG,1,580,198,11,11,U,780.0,189.0,2.0,170.0,28.0,2621.0,4.0,8496481.0,68.0
35,97,BOL,BUN,1,741,2,5,11,U,11.0,35.0,12.0,13.0,65.0,46.0,5.0,151113.0,37.0
90,249,USA,MDE,4,169,198,5,11,U,115337.0,16961.0,44.0,13921.0,52249.0,5.0,166084819.0,4.0,0.0
41,87,BEL,TRB,1,221,198,5,33,KG,820445.0,873793.0,98.0,820445.0,380760.0,92.0,1237377800.0,380760.0,92.0
48,63,ARG,CTG,1,580,199,13,33,KG,54000.0,55029.0,78.0,54000.0,82646.0,265174649.0,8.0,22996.0,8.0
3,97,BOL,BOG,4,239,198,11,11,U,4.0,316.0,216.0,10800.0,34652448.0,0.0,0.0,0.0,0.0
3,589,PER,BOG,4,589,198,25,33,KG,,29.0,,3.0,,29.0,21.0,79.0,68959.0
35,399,JPN,BUN,1,580,198,11,33,KG,7.0,10.0,7.0,356.0,32.0,1157950.0,92.0,0.0,0.0
35,200,CUW,BUN,1,741,198,76,11,U,8.0,152.0,48.0,152.0,48.0,552.0,1793862.0,0.0,0.0
90,239,ECU,MDE,4,169,198,5,33,KG,113.0,4.0,139.0,113.0,4.0,263.0,56.0,830366.0,86.0
88,242,SLV,CLO,4,169,198,76,33,KG,,6.0,,23.0,,6.0,3.0,29.0,10266.0
35,589,PER,BUN,1,218,104,25,11,U,1018093.0,2623.0,24.0,2484.0,99.0,4500.0,9.0,14131137.0,6.0
3,249,USA,BOG,4,169,198,11,53,C/T,14.0,68.0,,1.0,,1.0,450.0,1422234.0,0.0
48,386,ITA,CTG,1,741,198,41,33,KG,19047.0,19280.0,19047.0,53170.0,11.0,167516685.0,2.0,0.0,1831.0
16,580,PAN,PEI,4,169,198,66,11,U,1204.0,549.0,97.0,485.0,15652.0,49094628.0,7.0,0.0,0.0
48,493,MEX,CTG,1,23,198,13,33,KG,1001.0,3.0,1183.0,1001.0,3.0,23054.0,88.0,74922596.0,28.0
48,317,GTM,CTG,1,434,198,13,11,U,83800.0,1309.0,46.0,1217.0,36.0,5256.0,35.0,16715464.0,93.0
88,149,CAN,BOG,4,149,198,76,11,U,1165.0,414.0,8.0,414.0,8.0,13595.0,55.0,42833867.0,91.0
35,87,BEL,BUN,1,467,198,63,33,KG,19240.0,19405.0,19240.0,52277.0,82.0,169903437.0,8.0,0.0,0.0
3,149,CAN,BOG,4,249,198,11,11,U,32116.0,2012.0,78.0,1928.0,8134.0,16.0,25383134.0,32.0,7759.0
48,647,DOM,CTG,1,628,2,25,33,KG,1.0,64.0,2.0,82.0,1.0,64.0,3.0,16.0,9923.0
3,399,JPN,BOG,4,249,198,25,11,U,10720.0,1109.0,1042.0,4285.0,13529973.0,2.0,4165.0,6.0,0.0
19,573,NLD,SMR,1,467,198,66,33,KG,22960.0,25256.0,22960.0,46608.0,31.0,147648600.0,9.0,0.0,0.0
3,317,GTM,CTG,1,434,198,25,11,U,2377.0,155.0,15.0,135.0,49.0,947.0,38.0,2972556.0,33.0
35,589,PER,BUN,1,580,198,17,11,U,111.0,5181.0,62.0,5043.0,23379.0,46.0,74062856.0,15.0,17415.0
35,242,SLV,BUN,1,607,198,76,11,U,456.0,2584.0,39.0,2180.0,7.0,9327.0,1.0,29926559.0,96.0
35,337,GUY,BUN,1,232,198,19,33,KG,79500.0,79707.0,79500.0,28738.0,46.0,90415218.0,54.0,0.0,0.0
48,345,HND,CTG,1,607,198,25,11,U,589.0,329.0,4.0,306.0,79.0,6768.0,91.0,21997265.0,27.0
3,580,PAN,BOG,4,169,198,11,11,U,450.0,108.0,101.0,4045.0,5.0,12797777.0,43.0,0.0,0.0
48,317,GTM,CTG,1,399,199,5,11,U,1.0,1359.0,1359.0,12202.0,38600538.0,92.0,4050.0,86.0,688.0
48,855,VNM,CTG,1,741,199,13,67,M3,181.0,5.0,249990.0,249990.0,86580.0,57.0,273639623.0,1.0,0.0
3,399,JPN,BOG,4,493,198,25,11,U,64800.0,2317.0,2085.0,10044.0,31502905.0,56.0,0.0,0.0,0.0
3,580,PAN,BOG,4,580,198,11,33,KG,153.0,89.0,188.0,5.0,153.0,89.0,4016.0,12680600.0,32.0
3,467,MLT,BOG,4,169,198,11,11,U,640.0,48.0,44.0,204.0,8.0,644329.0,47.0,0.0,0.0
3,580,PAN,BOG,4,580,198,11,11,U,8120.0,874.0,99.0,844.0,3541.0,2.0,11050527.0,6.0,0.0
90,249,USA,MDE,4,169,198,5,11,U,7000.0,300.0,4.0,270.0,770.0,2431290.0,4.0,0.0,0.0
35,211,CHL,BUN,1,232,198,11,33,KG,129.0,56.0,148.0,3.0,129.0,56.0,779.0,7.0,2451063.0
35,196,CRI,BUN,1,741,198,76,33,KG,211.0,2.0,232.0,1.0,211.0,2.0,672.0,1.0,2097328.0
48,855,VNM,CTG,1,472,198,23,67,M3,389.0,71.0,543440.0,543440.0,190489.0,67.0,601474942.0,8.0,0.0
48,196,CRI,CTG,1,434,198,11,11,U,1867.0,2993.0,4.0,2837.0,11.0,17044.0,99.0,55147162.0,73.0
90,580,PAN,MDE,4,580,198,5,11,U,22.0,29.0,52.0,25.0,84.0,112.0,26.0,364816.0,93.0
35,239,ECU,BUN,1,741,198,76,11,U,6048.0,41.0,47.0,35.0,53.0,1541.0,39.0,4809999.0,97.0
37,239,ECU,IPI,3,169,198,5,33,KG,1284.0,43.0,1328.0,76.0,1284.0,43.0,31890.0,92.0,100151593.0
48,815,TTO,CTG,1,580,198,5,33,KG,11495.0,1.0,31291.0,25.0,11495.0,1.0,151035.0,42.0,490827356.0
48,249,USA,CTG,1,434,199,13,33,KG,464025.0,475687.0,94.0,464025.0,564527.0,55.0,1813124809.0,104689.0,73.0
3,589,PER,BOG,4,249,198,25,33,KG,144.0,46.0,192.0,39.0,144.0,46.0,6772.0,92.0,21243873.0
48,211,CHL,CTG,1,741,198,25,33,KG,3897.0,4910.0,22.0,3897.0,10132.0,2.0,32929751.0,32.0,0.0
3,249,USA,BOG,4,249,198,11,19,2U,358.0,240.0,96.0,180.0,8.0,4330.0,79.0,13674556.0,4.0
3,245,ESP,BOG,7,245,198,68,67,M3,3121.0,31.0,2921856.0,2921856.0,2063784.0,51.0,6521614010.0,0.0,0.0
90,211,CHL,BOG,4,211,198,5,11,U,47530.0,3985.0,69.0,3341.0,93.0,92175.0,95.0,289920506.0,2.0
37,239,ECU,IPI,3,239,199,5,33,KG,,5.0,1.0,21.0,,5.0,98.0,66.0,312106.0
3,27,ABW,BOG,4,850,198,5,11,U,1665.0,264.0,5.0,248.0,8325.0,26372434.0,5.0,0.0,0.0
3,493,MEX,CTG,1,434,198,25,11,U,63432.0,615.0,26.0,554.0,18.0,9903.0,42.0,31060150.0,17.0
35,211,CHL,BUN,1,431,199,5,11,U,1865.0,8100.0,7290.0,559317.0,26.0,1812859103.0,0.0,5600.0,1330.0
3,628,GBR,BOG,4,169,198,11,11,U,12950.0,888.0,860.0,5168.0,6.0,16217309.0,47.0,0.0,0.0
3,676,RUS,BOG,4,445,198,25,11,U,45.0,8.0,25.0,7.0,5.0,81.0,73.0,256895.0,37.0
48,211,CHL,CTG,1,23,198,5,33,KG,16628.0,4.0,19014.0,6.0,16628.0,4.0,79273.0,250543902.0,0.0
35,242,SLV,BUN,1,741,198,5,33,KG,20000.0,20680.0,20000.0,22540.0,70337422.0,4.0,0.0,1500.0,104.0
35,589,PER,BUN,1,232,198,5,33,KG,1052637.0,7.0,1069173.0,88.0,1052637.0,7.0,955159.0,6.0,3017215707.0
90,200,CUW,BOG,4,239,198,5,11,U,800.0,23.0,64.0,20.0,4.0,152.0,477177.0,4.0,0.0
35,580,PAN,BUN,1,434,198,17,33,KG,220.0,5.0,225.0,5.0,220.0,5.0,611.0,1.0,1906974.0
48,715,LCA,CTG,1,43,198,5,33,KG,108.0,157.0,108.0,864.0,2807784.0,0.0,0.0,0.0,0.0
48,105,BRA,CTG,1,434,198,66,82,M2,21789.0,45441.0,99.0,45021.0,187511.0,17.0,609364424.0,7.0,128775.0
35,341,HTI,BUN,1,580,199,19,33,KG,125000.0,125500.0,125000.0,38272.0,5.0,120041313.0,5.0,31297.0,5.0
3,211,CHL,BOG,4,211,198,11,82,M2,412.0,76.0,44.0,56.0,43.0,78.0,614.0,71.0,1930879.0
3,386,ITA,BOG,4,573,198,25,11,U,27600.0,1706.0,1190.0,9314.0,29064895.0,84.0,0.0,0.0,0.0
3,169,COL,BOG,3,169,198,11,33,KG,42.0,42.0,42.0,42.0,42.0,42.0,731.0,66.0,2299864.0
3,149,CAN,BOG,4,149,198,11,11,U,150.0,15.0,5.0,8.0,,15.0,471.0,2.0,0.0
48,580,PAN,CTG,1,434,199,11,11,U,18556.0,8016.0,1.0,7654.0,3.0,22267.0,2.0,70174858.0,12.0
35,589,PER,BUN,1,472,198,76,33,KG,132500.0,132845.0,132500.0,46903.0,68.0,146365747.0,7.0,0.0,0.0
3,317,GTM,CTG,1,434,198,25,33,KG,86.0,22.0,95.0,24.0,86.0,22.0,926.0,57.0,2907261.0
37,239,ECU,IPI,3,169,198,5,33,KG,29000.0,29783.0,29000.0,11600.0,36557284.0,0.0,3000.0,16.0,0.0
3,249,USA,BOG,4,249,2,5,33,KG,1.0,8.0,1.0,2.0,1.0,8.0,4.0,12591.0,22.0
48,345,HND,CTG,1,741,198,5,11,U,96.0,235.0,62.0,231.0,1.0,932.0,4.0,2991661.0,34.0
35,211,CHL,BUN,1,741,198,5,33,KG,180.0,185.0,14.0,180.0,1368.0,4274945.0,28.0,0.0,0.0
35,249,USA,BUN,1,741,198,66,33,KG,192116.0,194046.0,192116.0,608348.0,91.0,1912174461.0,0.0,0.0,0.0
48,196,CRI,CTG,1,434,198,17,33,KG,36025.0,55.0,43835.0,41.0,36025.0,55.0,111290.0,52.0,355573011.0
35,589,PER,BUN,1,628,2,11,19,2U,408.0,34.0,99.0,31.0,5.0,13.0,6.0,43636.0,41.0
35,611,PRI,CTG,1,741,198,5,33,KG,75000.0,75822.0,5.0,75000.0,22500.0,73119375.0,0.0,2325.0,0.0
3,647,DOM,BOG,4,580,198,25,11,U,219.0,17.0,23.0,15.0,63.0,1384.0,7.0,4348221.0,9.0
48,196,CRI,CTG,1,221,198,5,33,KG,106000.0,106500.0,106000.0,29960.0,94418640.0,4.0,0.0,0.0,0.0
90,249,USA,MDE,4,169,198,5,11,U,286.0,47.0,42.0,162.0,2.0,507372.0,95.0,0.0,0.0
3,249,USA,BOG,4,249,198,11,11,U,215.0,248.0,7.0,224.0,45.0,1970.0,6220314.0,4.0,0.0
3,63,ARG,BOG,4,249,198,25,11,U,6750.0,368.0,1.0,356.0,99.0,1147.0,5.0,3626696.0,7.0
35,589,PER,BUN,1,23,198,11,33,KG,1860.0,2124.0,44.0,1860.0,23722.0,8.0,74467885.0,1.0,0.0
